n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,45,193,delivered,7,6,1.1666666666666667,
250,0,A_reference,89,215,delivered,4,4,1.0,
250,0,A_reference,111,41,delivered,3,3,1.0,
250,0,A_reference,28,22,delivered,3,3,1.0,
250,0,A_reference,228,161,delivered,3,2,1.5,
250,0,A_reference,9,93,delivered,3,3,1.0,
250,0,A_reference,175,33,delivered,7,6,1.1666666666666667,
250,0,A_reference,147,41,delivered,4,4,1.0,
250,0,A_reference,184,43,delivered,4,4,1.0,
250,0,A_reference,236,86,delivered,6,5,1.2,
250,0,A_reference,112,183,delivered,4,4,1.0,
250,0,A_reference,247,53,delivered,6,5,1.2,
250,0,A_reference,15,0,delivered,7,6,1.1666666666666667,
250,0,A_reference,230,5,delivered,7,6,1.1666666666666667,
250,0,A_reference,191,47,delivered,4,4,1.0,
250,0,A_reference,57,182,delivered,4,4,1.0,
250,0,A_reference,181,80,delivered,4,3,1.3333333333333333,
250,0,A_reference,197,21,delivered,5,5,1.0,
250,0,A_reference,11,151,delivered,5,4,1.25,
250,0,A_reference,2,240,delivered,7,6,1.1666666666666667,
250,0,A_reference,147,111,delivered,7,5,1.4,
250,0,A_reference,167,161,delivered,2,2,1.0,
250,0,A_reference,10,1,delivered,5,4,1.25,
250,0,A_reference,230,17,delivered,8,6,1.3333333333333333,
250,0,A_reference,124,105,delivered,2,2,1.0,
250,0,A_reference,136,72,delivered,3,2,1.5,
250,0,A_reference,25,101,delivered,4,3,1.3333333333333333,
250,0,A_reference,88,31,delivered,4,4,1.0,
250,0,A_reference,18,202,delivered,6,6,1.0,
250,0,A_reference,26,89,delivered,3,2,1.5,
250,0,A_reference,111,197,delivered,6,5,1.2,
250,0,A_reference,40,122,delivered,2,2,1.0,
250,0,A_reference,5,61,delivered,4,4,1.0,
250,0,A_reference,63,114,delivered,7,6,1.1666666666666667,
250,0,A_reference,1,112,delivered,5,3,1.6666666666666667,
250,0,A_reference,109,224,delivered,7,6,1.1666666666666667,
250,0,A_reference,123,221,delivered,3,3,1.0,
250,0,A_reference,201,228,delivered,2,2,1.0,
250,0,A_reference,9,68,delivered,3,3,1.0,
250,0,A_reference,26,30,delivered,2,2,1.0,
250,0,A_reference,180,50,delivered,4,4,1.0,
250,0,A_reference,53,59,delivered,4,3,1.3333333333333333,
250,0,A_reference,186,79,delivered,5,4,1.25,
250,0,A_reference,244,134,delivered,5,4,1.25,
250,0,A_reference,130,66,delivered,2,2,1.0,
250,0,A_reference,31,74,delivered,3,3,1.0,
250,0,A_reference,2,46,delivered,6,5,1.2,
250,0,A_reference,114,231,delivered,4,4,1.0,
250,0,A_reference,17,57,delivered,4,4,1.0,
250,0,A_reference,228,249,delivered,2,2,1.0,
250,0,A_reference,153,21,delivered,4,4,1.0,
250,0,A_reference,194,94,delivered,8,6,1.3333333333333333,
250,0,A_reference,166,228,delivered,2,2,1.0,
250,0,A_reference,114,189,delivered,6,5,1.2,
250,0,A_reference,135,19,delivered,4,4,1.0,
250,0,A_reference,224,182,delivered,3,3,1.0,
250,0,A_reference,23,240,delivered,8,6,1.3333333333333333,
250,0,A_reference,197,100,delivered,4,3,1.3333333333333333,
250,0,A_reference,138,111,delivered,3,2,1.5,
250,0,A_reference,214,185,delivered,2,2,1.0,
250,0,A_reference,2,148,delivered,5,4,1.25,
250,0,A_reference,142,30,delivered,4,3,1.3333333333333333,
250,0,A_reference,139,199,delivered,3,3,1.0,
250,0,A_reference,108,28,delivered,3,2,1.5,
250,0,A_reference,85,44,delivered,4,3,1.3333333333333333,
250,0,A_reference,21,221,delivered,9,6,1.5,
250,0,A_reference,153,66,delivered,6,4,1.5,
250,0,A_reference,19,167,delivered,6,5,1.2,
250,0,A_reference,58,72,delivered,2,2,1.0,
250,0,A_reference,143,246,delivered,5,5,1.0,
250,0,A_reference,121,162,delivered,4,4,1.0,
250,0,A_reference,144,156,delivered,7,5,1.4,
250,0,A_reference,174,227,delivered,5,5,1.0,
250,0,A_reference,120,50,delivered,4,3,1.3333333333333333,
250,0,A_reference,188,206,delivered,2,2,1.0,
250,0,A_reference,115,41,delivered,4,4,1.0,
250,0,A_reference,178,31,delivered,9,7,1.2857142857142858,
250,0,A_reference,231,104,delivered,4,4,1.0,
250,0,A_reference,149,58,delivered,4,4,1.0,
250,0,A_reference,186,212,delivered,3,3,1.0,
250,0,A_reference,46,148,delivered,6,5,1.2,
250,0,A_reference,10,48,delivered,5,4,1.25,
250,0,A_reference,6,94,delivered,5,4,1.25,
250,0,A_reference,105,185,delivered,2,2,1.0,
250,0,A_reference,31,192,delivered,9,8,1.125,
250,0,A_reference,10,128,delivered,6,5,1.2,
250,0,A_reference,118,83,delivered,2,2,1.0,
250,0,A_reference,200,205,delivered,3,3,1.0,
250,0,A_reference,165,67,delivered,3,3,1.0,
250,0,A_reference,78,67,delivered,5,5,1.0,
250,0,A_reference,108,65,delivered,7,5,1.4,
250,0,A_reference,230,1,delivered,8,6,1.3333333333333333,
250,0,A_reference,23,225,delivered,8,6,1.3333333333333333,
250,0,A_reference,162,49,delivered,3,3,1.0,
250,0,A_reference,106,212,delivered,5,4,1.25,
250,0,A_reference,136,83,delivered,3,3,1.0,
250,0,A_reference,85,240,delivered,5,4,1.25,
250,0,A_reference,125,188,delivered,2,2,1.0,
250,0,A_reference,103,161,delivered,4,3,1.3333333333333333,
250,0,A_reference,139,63,delivered,3,3,1.0,
250,0,A_reference,143,198,delivered,5,4,1.25,
250,0,A_reference,78,3,delivered,6,5,1.2,
250,0,A_reference,133,77,delivered,4,4,1.0,
250,0,A_reference,151,27,delivered,5,4,1.25,
250,0,A_reference,156,90,delivered,2,2,1.0,
250,0,A_reference,177,247,delivered,5,3,1.6666666666666667,
250,0,A_reference,235,40,delivered,5,5,1.0,
250,0,A_reference,139,179,delivered,4,4,1.0,
250,0,A_reference,68,165,delivered,3,3,1.0,
250,0,A_reference,127,191,delivered,2,2,1.0,
250,0,A_reference,75,66,delivered,4,4,1.0,
250,0,A_reference,146,50,delivered,3,3,1.0,
250,0,A_reference,228,142,delivered,6,5,1.2,
250,0,A_reference,13,100,delivered,5,5,1.0,
250,0,A_reference,238,62,delivered,5,5,1.0,
250,0,A_reference,233,110,delivered,5,4,1.25,
250,0,A_reference,149,54,delivered,3,3,1.0,
250,0,A_reference,112,64,delivered,4,2,2.0,
250,0,A_reference,189,113,delivered,7,6,1.1666666666666667,
250,0,A_reference,5,174,delivered,7,6,1.1666666666666667,
250,0,A_reference,155,222,delivered,3,3,1.0,
250,0,A_reference,0,159,delivered,8,7,1.1428571428571428,
250,0,A_reference,211,109,delivered,5,5,1.0,
250,0,A_reference,218,181,delivered,3,3,1.0,
250,0,A_reference,19,102,delivered,3,3,1.0,
250,0,A_reference,79,145,delivered,8,6,1.3333333333333333,
250,0,A_reference,9,82,delivered,5,4,1.25,
250,0,A_reference,86,136,delivered,2,2,1.0,
250,0,A_reference,10,235,delivered,7,6,1.1666666666666667,
250,0,A_reference,215,55,delivered,6,4,1.5,
250,0,A_reference,154,91,delivered,2,2,1.0,
250,0,A_reference,237,227,delivered,5,4,1.25,
250,0,A_reference,33,70,delivered,2,2,1.0,
