n_nodes,tx_pct,k_neighbors,seed,tx_distance_px,density,spacing_approx,r_over_s,mean_degree,min_degree,max_degree,isolated_nodes,n_components,connected,converged,ticks,mean_constraint_violation,procrustes_rmse,tx_energy_proxy,soft_converged,meaningful_hard
100,8.0,10,1,90.51,0.00015625,80.0,1.1314,2.84,0,6,3,6,0,1,40,0.0,302.5148,0.00181,0,0
100,8.0,10,2,90.51,0.00015625,80.0,1.1314,2.86,1,5,0,2,0,1,91,0.1217,308.8575,0.00181,0,0
100,8.0,10,3,90.51,0.00015625,80.0,1.1314,2.8,0,6,3,6,0,1,71,0.0041,300.2921,0.00181,0,0
100,8.0,10,4,90.51,0.00015625,80.0,1.1314,3.06,0,6,2,5,0,1,28,0.147,299.3235,0.00181,0,0
100,8.0,12,0,90.51,0.00015625,80.0,1.1314,2.8,0,5,2,10,0,1,35,0.0,263.8029,0.00181,0,0
100,8.0,12,1,90.51,0.00015625,80.0,1.1314,2.84,0,6,3,6,0,1,40,0.0,302.5148,0.00181,0,0
100,8.0,12,2,90.51,0.00015625,80.0,1.1314,2.86,1,5,0,2,0,1,91,0.1217,308.8575,0.00181,0,0
100,8.0,12,3,90.51,0.00015625,80.0,1.1314,2.8,0,6,3,6,0,1,71,0.0041,300.2921,0.00181,0,0
100,8.0,12,4,90.51,0.00015625,80.0,1.1314,3.06,0,6,2,5,0,1,28,0.147,299.3235,0.00181,0,0
100,10.0,6,0,113.137,0.00015625,80.0,1.4142,4.51,1,6,0,1,1,1,211,0.0,125.8164,0.003162,0,0
100,10.0,6,1,113.137,0.00015625,80.0,1.4142,4.73,2,6,0,1,1,1,187,0.0006,225.2012,0.003162,0,0
100,10.0,6,2,113.137,0.00015625,80.0,1.4142,4.72,2,6,0,1,1,0,250,4.009,344.8972,0.003162,0,0
100,10.0,6,3,113.137,0.00015625,80.0,1.4142,4.59,2,6,0,1,1,1,97,0.2318,144.0935,0.003162,0,0
100,10.0,6,4,113.137,0.00015625,80.0,1.4142,4.9,2,6,0,1,1,1,237,0.0,70.5491,0.003162,0,0
100,10.0,10,0,113.137,0.00015625,80.0,1.4142,4.62,1,8,0,1,1,1,82,0.0,156.5424,0.003162,0,0
100,10.0,10,1,113.137,0.00015625,80.0,1.4142,5.06,2,8,0,1,1,1,162,0.0,238.4666,0.003162,0,0
100,10.0,10,2,113.137,0.00015625,80.0,1.4142,4.96,2,8,0,1,1,0,250,3.5237,292.2829,0.003162,0,0
100,10.0,10,3,113.137,0.00015625,80.0,1.4142,4.74,2,9,0,1,1,1,215,0.1005,102.6399,0.003162,0,0
100,10.0,10,4,113.137,0.00015625,80.0,1.4142,5.16,2,9,0,1,1,0,250,1.2872,155.5095,0.003162,0,0
100,10.0,12,0,113.137,0.00015625,80.0,1.4142,4.62,1,8,0,1,1,1,82,0.0,156.5424,0.003162,0,0
