n_nodes,tx_pct,k_neighbors,n_trials,mean_degree_avg,mean_degree_std,connected_rate,hard_converge_rate,meaningful_hard_rate,soft_converge_rate,ticks_avg,ticks_std,rmse_avg,rmse_std,violation_avg,r_over_s_avg,tx_energy_proxy,isolated_avg
200,15.0,10,5,9.997,0.004,1.0,0.2,0.2,0.2,216.0,76.0,123.223,102.621,2.9165,3.0,0.008714,0.0
200,15.0,12,5,11.976,0.013,1.0,0.2,0.2,0.2,219.0,69.3,114.982,98.883,2.8364,3.0,0.008714,0.0
200,20.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,205.689,99.11,3.0212,4.0,0.017889,0.0
200,20.0,10,5,10.0,0.0,1.0,0.2,0.2,0.2,231.4,41.6,121.789,105.974,2.5441,4.0,0.017889,0.0
200,20.0,12,5,12.0,0.0,1.0,0.4,0.4,0.4,215.2,72.4,99.859,132.984,2.4356,4.0,0.017889,0.0
200,25.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,205.542,99.952,3.3075,5.0,0.03125,0.0
200,25.0,10,5,10.0,0.0,1.0,0.2,0.2,0.2,222.2,62.2,119.456,105.602,2.5566,5.0,0.03125,0.0
200,25.0,12,5,12.0,0.0,1.0,0.4,0.4,0.4,215.2,72.4,99.859,132.984,2.4356,5.0,0.03125,0.0
200,30.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,207.379,102.576,3.162,6.0,0.049295,0.0
200,30.0,10,5,10.0,0.0,1.0,0.2,0.2,0.2,231.4,41.6,121.538,105.633,2.4703,6.0,0.049295,0.0
200,30.0,12,5,12.0,0.0,1.0,0.4,0.4,0.4,215.2,72.4,88.469,107.677,1.9856,6.0,0.049295,0.0
300,5.0,6,5,3.997,0.063,0.0,0.4,0.0,0.0,228.8,43.6,281.37,42.74,0.8332,1.2247,0.000559,1.0
300,5.0,10,5,4.017,0.07,0.0,0.4,0.0,0.0,223.2,39.3,280.432,35.993,0.7344,1.2247,0.000559,1.0
300,5.0,12,5,4.017,0.07,0.0,0.4,0.0,0.0,223.2,39.3,280.432,35.993,0.7344,1.2247,0.000559,1.0
300,8.0,6,5,5.977,0.007,1.0,0.0,0.0,0.0,250.0,0.0,253.363,70.618,2.5177,1.9596,0.00181,0.0
300,8.0,10,5,9.524,0.031,1.0,0.0,0.0,0.2,250.0,0.0,208.963,84.215,2.2235,1.9596,0.00181,0.0
300,8.0,12,5,10.632,0.048,1.0,0.0,0.0,0.4,250.0,0.0,164.853,118.784,1.5597,1.9596,0.00181,0.0
300,10.0,6,5,5.999,0.001,1.0,0.0,0.0,0.0,250.0,0.0,271.371,88.386,2.1236,2.4495,0.003162,0.0
300,10.0,10,5,9.955,0.014,1.0,0.0,0.0,0.2,250.0,0.0,233.037,106.631,2.4996,2.4495,0.003162,0.0
300,10.0,12,5,11.821,0.014,1.0,0.0,0.0,0.2,250.0,0.0,227.661,146.701,2.6396,2.4495,0.003162,0.0
300,12.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,267.713,85.754,2.568,2.9394,0.004988,0.0
300,12.0,10,5,9.998,0.003,1.0,0.0,0.0,0.2,250.0,0.0,230.198,117.219,2.5,2.9394,0.004988,0.0
300,12.0,12,5,11.981,0.01,1.0,0.0,0.0,0.2,250.0,0.0,219.031,172.514,2.3666,2.9394,0.004988,0.0
300,15.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,269.533,92.391,2.333,3.6742,0.008714,0.0
300,15.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,226.702,116.232,2.4978,3.6742,0.008714,0.0
300,15.0,12,5,12.0,0.0,1.0,0.0,0.0,0.4,250.0,0.0,216.786,176.883,1.7299,3.6742,0.008714,0.0
300,20.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,271.514,89.15,2.4592,4.899,0.017889,0.0
300,20.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,226.716,114.48,2.0622,4.899,0.017889,0.0
300,20.0,12,5,12.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,215.097,179.305,1.6759,4.899,0.017889,0.0
300,25.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,270.013,90.332,2.4207,6.1237,0.03125,0.0
300,25.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,239.294,117.043,2.7514,6.1237,0.03125,0.0
300,25.0,12,5,12.0,0.0,1.0,0.0,0.0,0.4,250.0,0.0,214.494,172.456,1.9162,6.1237,0.03125,0.0
300,30.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,267.579,84.428,2.5987,7.3485,0.049295,0.0
300,30.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,238.092,120.027,2.582,7.3485,0.049295,0.0
300,30.0,12,5,12.0,0.0,1.0,0.0,0.0,0.4,250.0,0.0,217.618,176.44,1.9702,7.3485,0.049295,0.0
