n_nodes,seed,tx_pct,k_neighbors,reference_columns,connected,mean_degree,ticks,converged_hard,mean_constraint_violation,procrustes_rmse,angle_mae_deg,angle_sd_deg,angle_cv_pct,n_edge_angles,directional_correctness,mode,init_mode,uniform_normalize,early_stop,max_ticks
100,0,19.79898987322333,10,10,1,9.94,150,1,0.0,6.86547883275831,2.8366533417647193,2.706694292646917,95.41857839291166,490,0.945,A_planned_geometry,mds,1,0,150
100,1,19.79898987322333,10,10,1,9.97,150,1,0.0,424.86461835816624,87.46570888569423,52.49705922664438,60.02016092415244,498,0.915,A_planned_geometry,mds,1,0,150
100,2,19.79898987322333,10,10,1,9.92,150,1,0.0,5.482551869203592,2.1874980896422533,1.976380969385478,90.34892321705745,498,0.975,A_planned_geometry,mds,1,0,150
100,3,19.79898987322333,10,10,1,9.93,150,1,0.0,444.4077266532579,90.84924650656218,50.920252175652244,56.04917391579488,504,0.955,A_planned_geometry,mds,1,0,150
100,4,19.79898987322333,10,10,1,9.97,150,1,0.0,444.4706714482571,92.10218274902752,51.53908591859941,55.95859335824872,503,0.98,A_planned_geometry,mds,1,0,150
100,5,19.79898987322333,10,10,1,9.96,150,1,0.0,8.139718553429082,2.9418652556124045,3.0673695925271462,104.26614837900233,499,0.935,A_planned_geometry,mds,1,0,150
100,6,19.79898987322333,10,10,1,9.9,150,1,0.0,444.471577005522,90.78130539212937,50.52295521750844,55.653479534442475,503,0.985,A_planned_geometry,mds,1,0,150
100,7,19.79898987322333,10,10,1,9.95,150,1,0.0,443.9813683397083,91.73892310437994,50.41216610300139,54.951774445447505,508,0.975,A_planned_geometry,mds,1,0,150
100,8,19.79898987322333,10,10,1,9.95,150,1,0.0,443.85384606353546,90.91872638777707,51.472474557531086,56.61372150990771,492,0.955,A_planned_geometry,mds,1,0,150
100,9,19.79898987322333,10,10,1,9.93,150,1,0.0,425.489676830037,88.96037461329553,52.15369127674476,58.62575500997289,481,0.94,A_planned_geometry,mds,1,0,150
100,10,19.79898987322333,10,10,1,10.0,150,1,0.0,8.492646521127796,3.332355671684175,3.2091085384932883,96.30150124015431,492,0.965,A_planned_geometry,mds,1,0,150
100,11,19.79898987322333,10,10,1,9.94,150,1,0.0,446.6499337832581,88.04452747628287,52.02602194369412,59.090579999658374,491,0.94,A_planned_geometry,mds,1,0,150
100,12,19.79898987322333,10,10,1,9.94,150,1,0.0,7.679056474131513,3.1382219410302934,4.421116859873181,140.87967463581327,499,0.945,A_planned_geometry,mds,1,0,150
100,13,19.79898987322333,10,10,1,9.92,150,1,0.0,445.95249758343107,90.78634893163797,52.2669427111252,57.57136764083569,490,0.97,A_planned_geometry,mds,1,0,150
100,14,19.79898987322333,10,10,1,9.88,150,1,0.0,6.2658789825542485,2.5459828703373146,2.2899291361204135,89.94283358304854,496,0.975,A_planned_geometry,mds,1,0,150
100,15,19.79898987322333,10,10,1,10.0,150,1,0.0,5.572640881945962,2.2254351296757053,1.9715832928894195,88.59315944997788,495,0.975,A_planned_geometry,mds,1,0,150
100,16,19.79898987322333,10,10,1,9.97,150,1,0.0,5.2285613877994335,2.145265123124981,2.079515592736326,96.93513264724695,495,0.98,A_planned_geometry,mds,1,0,150
100,17,19.79898987322333,10,10,1,9.98,150,1,0.0,439.98594482345254,91.80533020618904,51.954966421140355,56.5925380415851,499,0.995,A_planned_geometry,mds,1,0,150
100,18,19.79898987322333,10,10,1,9.94,150,1,0.0,6.845115704897808,2.6379060709515985,2.474234671196623,93.79540456131812,497,0.945,A_planned_geometry,mds,1,0,150
100,19,19.79898987322333,10,10,1,9.93,150,1,0.0,7.250833878793439,2.772416674754337,2.5236390304510423,91.0266863358359,497,0.97,A_planned_geometry,mds,1,0,150
250,0,12.521980673998822,10,16,1,9.992,150,1,0.0,4.3780250433305214,2.8080266071991673,2.4953979952165,88.86660791670721,1257,0.91,A_planned_geometry,mds,1,0,150
250,1,12.521980673998822,10,16,1,9.996,150,1,0.0,4.946711240666369,2.9143135513938936,2.808776344402591,96.37865984115453,1222,0.97,A_planned_geometry,mds,1,0,150
250,2,12.521980673998822,10,16,1,9.996,150,1,0.0,4.144681453166924,2.809427931555588,2.5120507624342037,89.41502767231599,1230,0.945,A_planned_geometry,mds,1,0,150
250,3,12.521980673998822,10,16,1,9.996,150,1,0.0,4.51159911568143,2.697960308802675,2.3760147280884767,88.06707498016995,1238,0.96,A_planned_geometry,mds,1,0,150
250,4,12.521980673998822,10,16,1,9.984,150,1,0.0,4.194725940846626,2.632704033210524,2.330484538003167,88.52056701418097,1241,0.96,A_planned_geometry,mds,1,0,150
250,5,12.521980673998822,10,16,1,9.98,150,1,0.0,5.6323470853417215,3.5588907767513493,3.2549330520411095,91.45920052686469,1244,0.93,A_planned_geometry,mds,1,0,150
250,6,12.521980673998822,10,16,1,9.984,150,1,0.0,4.654207229591431,2.9507788912708506,2.718568931835227,92.13055372862537,1242,0.96,A_planned_geometry,mds,1,0,150
250,7,12.521980673998822,10,16,1,9.996,150,1,0.0,5.448992893922188,3.179053582664787,3.06920608679688,96.54464786416624,1239,0.93,A_planned_geometry,mds,1,0,150
250,8,12.521980673998822,10,16,1,10.0,150,1,0.0,3.8384066716389658,2.607957320592183,2.3396749084211,89.71292934693561,1234,0.96,A_planned_geometry,mds,1,0,150
250,9,12.521980673998822,10,16,1,9.996,150,1,0.0,4.865448692864892,3.0853781225296006,2.8112390573219534,91.11489566851243,1229,0.955,A_planned_geometry,mds,1,0,150
250,10,12.521980673998822,10,16,1,9.976,150,1,0.0,4.80644559590148,3.0170641790105845,2.69211864100398,89.22974392566063,1230,0.955,A_planned_geometry,mds,1,0,150
250,11,12.521980673998822,10,16,1,9.992,150,1,0.0,5.603081980042468,3.3412179448838035,3.538548139095846,105.90593602294642,1220,0.93,A_planned_geometry,mds,1,0,150
250,12,12.521980673998822,10,16,1,9.98,150,1,0.0,4.4273624441390735,2.7804289296840885,2.629661978740973,94.57756501763038,1245,0.945,A_planned_geometry,mds,1,0,150
250,13,12.521980673998822,10,16,1,9.98,150,1,0.0,3.7816949413181025,2.543158072674964,2.408361832680364,94.69965153000429,1241,0.94,A_planned_geometry,mds,1,0,150
250,14,12.521980673998822,10,16,1,9.964,150,1,0.0,4.179540707912735,2.602693859079634,2.1714570130391793,83.43113445570779,1232,0.915,A_planned_geometry,mds,1,0,150
250,15,12.521980673998822,10,16,1,9.988,150,1,0.0,4.402157824455948,2.8041565677726235,2.5812557754000656,92.05105752887361,1240,0.93,A_planned_geometry,mds,1,0,150
250,16,12.521980673998822,10,16,1,9.988,150,1,0.0,4.837913140585971,2.979550136585922,2.787773408701548,93.56356768327052,1242,0.95,A_planned_geometry,mds,1,0,150
250,17,12.521980673998822,10,16,1,9.992,150,1,0.0,4.13223897802684,2.7117479044757276,2.42537774341389,89.43964663569263,1233,0.96,A_planned_geometry,mds,1,0,150
250,18,12.521980673998822,10,16,1,9.996,150,1,0.0,4.752728009198168,3.0967726375937117,2.9529078945457874,95.35436533824091,1247,0.935,A_planned_geometry,mds,1,0,150
250,19,12.521980673998822,10,16,1,9.976,150,1,0.0,4.83950268902638,3.1515485982703537,2.9466527212252247,93.49856520830487,1234,0.945,A_planned_geometry,mds,1,0,150
500,0,8.85437744847146,10,23,1,10.0,150,0,2.2914314707516466e-17,3.2429067986359636,3.024327785674838,3.1326397311328447,103.58135602797559,2477,0.92,A_planned_geometry,mds,1,0,150
500,1,8.85437744847146,10,23,1,9.998,150,0,2.291889848721391e-17,3.102391176573457,2.714450222485194,2.5710246548276836,94.71622037974974,2475,0.95,A_planned_geometry,mds,1,0,150
500,2,8.85437744847146,10,23,1,9.998,150,1,2.291889848721391e-17,3.4592397343142176,3.1215349481532657,2.905951146022628,93.0936604679637,2453,0.905,A_planned_geometry,mds,1,0,150
500,3,8.85437744847146,10,23,1,9.996,150,0,2.292348410115693e-17,3.6125029095225982,3.1369883353477546,2.79872040793238,89.21679358498872,2464,0.955,A_planned_geometry,mds,1,0,150
500,4,8.85437744847146,10,23,1,9.996,150,1,0.0,3.5647040747783,3.0952026098121306,2.984679071545818,96.42919859540241,2487,0.94,A_planned_geometry,mds,1,0,150
500,5,8.85437744847146,10,23,1,10.0,150,1,0.0,3.5631039366466775,3.090064798916688,2.8744445630281,93.02214516782368,2469,0.935,A_planned_geometry,mds,1,0,150
500,6,8.85437744847146,10,23,1,9.994,150,1,0.0,3.2845664176928695,2.8730934705771536,2.6250961694957082,91.36828287623977,2480,0.95,A_planned_geometry,mds,1,0,150
500,7,8.85437744847146,10,23,1,10.0,150,1,0.0,3.9580675929560964,3.1580354034386633,3.2020884114488295,101.39494978308979,2484,0.945,A_planned_geometry,mds,1,0,150
500,8,8.85437744847146,10,23,1,9.998,150,1,0.0,435.77277015238025,89.43866297342689,50.01617582834219,55.92232057762592,2463,0.935,A_planned_geometry,mds,1,0,150
500,9,8.85437744847146,10,23,1,9.984,150,1,0.0,3.2961414600011296,3.1048937475158,2.6958757820680233,86.8266678763153,2466,0.95,A_planned_geometry,mds,1,0,150
500,10,8.85437744847146,10,23,1,10.0,150,1,0.0,3.194165310285711,2.764128609258564,2.3487940974294133,84.9741249217576,2474,0.97,A_planned_geometry,mds,1,0,150
500,11,8.85437744847146,10,23,1,9.994,150,0,2.2928071550446732e-17,3.4859932938661067,3.1468310688671615,2.746502976320878,87.2783735832887,2472,0.96,A_planned_geometry,mds,1,0,150
500,12,8.85437744847146,10,23,1,9.994,150,1,2.2928071550446732e-17,3.865107018554824,3.192909649345288,3.190645532683571,99.92908923488702,2477,0.94,A_planned_geometry,mds,1,0,150
500,13,8.85437744847146,10,23,1,9.992,150,1,0.0,3.4701065568737124,3.071047816879973,2.940060986484213,95.73478375439832,2458,0.935,A_planned_geometry,mds,1,0,150
500,14,8.85437744847146,10,23,1,9.996,150,1,0.0,3.5441808169468416,3.2709024312080435,2.9180563876836336,89.2125781509755,2470,0.94,A_planned_geometry,mds,1,0,150
500,15,8.85437744847146,10,23,1,9.992,150,0,1.1377786000962372e-17,3.5878595204868255,3.2201857160968563,2.9367529822579774,91.19824883322494,2467,0.965,A_planned_geometry,mds,1,0,150
500,16,8.85437744847146,10,23,1,10.0,150,0,2.2914314707516466e-17,3.6480168532551107,3.1624479192480215,2.796044060958577,88.41391644556887,2463,0.94,A_planned_geometry,mds,1,0,150
500,17,8.85437744847146,10,23,1,9.994,150,1,0.0,3.3658701680935375,3.0249449958189563,2.633241945420942,87.05090337379946,2464,0.96,A_planned_geometry,mds,1,0,150
500,18,8.85437744847146,10,23,1,10.0,150,0,2.2914314707516466e-17,3.874976039368381,3.3309387713253624,3.5168363918881207,105.5809377873611,2463,0.95,A_planned_geometry,mds,1,0,150
500,19,8.85437744847146,10,23,1,9.996,150,1,2.8433082663469397e-18,3.364811270134087,2.707471519192871,2.443884628542751,90.26446303196207,2457,0.95,A_planned_geometry,mds,1,0,150
750,0,7.229568912920511,10,28,1,9.997333333333334,150,0,3.991900304550658e-17,3.051650998666909,3.218475425319374,3.1980177039319,99.36436608381298,3697,0.935,A_planned_geometry,mds,1,0,150
750,1,7.229568912920511,10,28,1,9.997333333333334,150,0,1.528028454755699e-17,3.199451414891517,3.2553000997189327,3.0349366192043776,93.2306247115717,3707,0.925,A_planned_geometry,mds,1,0,150
750,2,7.229568912920511,10,28,1,9.994666666666667,150,1,1.895791717609659e-18,440.68877893629656,90.17277975036923,50.47589115000438,55.9768605223659,3717,0.935,A_planned_geometry,mds,1,0,150
750,3,7.229568912920511,10,28,1,9.994666666666667,150,0,3.0332667481754546e-17,3.244331214009665,3.24678354896054,3.0526473957711913,94.02066228740436,3696,0.915,A_planned_geometry,mds,1,0,150
